test_time_second,voltage_volt,current_ampere,unix_time_second,step_id,step_type,ambient_temperature_celsius,step_time_second,charging_capacity_ah,discharging_capacity_ah,net_capacity_ah,step_cumulative_capacity_ah,charging_energy_wh,discharging_energy_wh,net_energy_wh,step_cumulative_energy_wh,temperature_t1_celsius
43685646.0,3.2062355645903153,0.0,1749244705.76,40,PAU,25.125,787682.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.375
43686646.0,3.2062355645903153,0.0,1749244706.76,40,PAU,25.125,788682.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.375
43687646.0,3.2062355645903153,0.0,1749244707.76,40,PAU,25.125,789682.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.375
43688646.0,3.2062355645903153,0.0,1749244708.76,40,PAU,25.125,790682.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.375
43689652.0,3.2062355645903153,0.0,1749244709.76,40,PAU,25.125,791688.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.375
43690649.0,3.2062355645903153,0.0,1749244710.76,40,PAU,25.125,792685.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.375
43691648.0,3.2062355645903153,0.0,1749244711.76,40,PAU,25.125,793684.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.375
43692651.0,3.2062355645903153,0.0,1749244712.76,40,PAU,25.125,794687.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.375
43693644.0,3.2062355645903153,0.0,1749244713.75,40,PAU,25.125,795680.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.375
43694644.0,3.206346730097721,0.0,1749244714.75,40,PAU,25.125,796680.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.375
43695650.0,3.206346730097721,0.0,1749244715.76,40,PAU,25.125,797686.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.375
43696644.0,3.206346730097721,0.0,1749244716.75,40,PAU,25.125,798680.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.375
43697651.0,3.206346730097721,0.0,1749244717.76,40,PAU,25.125,799687.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.375
43698645.0,3.206346730097721,0.0,1749244718.76,40,PAU,25.125,800681.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43699648.0,3.206346730097721,0.0,1749244719.76,40,PAU,25.125,801684.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43700645.0,3.206346730097721,0.0,1749244720.76,40,PAU,25.125,802681.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43701651.0,3.2064578956051264,0.0,1749244721.76,40,PAU,25.125,803687.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43702648.0,3.2064578956051264,0.0,1749244722.76,40,PAU,25.125,804684.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43703649.0,3.2064578956051264,0.0,1749244723.76,40,PAU,25.125,805685.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.375
43704652.0,3.2064578956051264,0.0,1749244724.76,40,PAU,25.125,806688.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.375
43705649.0,3.2064578956051264,0.0,1749244725.76,40,PAU,25.125,807685.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.375
43706650.0,3.2064578956051264,0.0,1749244726.76,40,PAU,25.125,808686.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.375
43707644.0,3.2064578956051264,0.0,1749244727.75,40,PAU,25.125,809680.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.375
43708646.0,3.2064578956051264,0.0,1749244728.76,40,PAU,25.125,810682.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
43709652.0,3.2064578956051264,0.0,1749244729.76,40,PAU,25.125,811688.0,7.757128393481253,9.398745520840748,-1.6416171454093273,0.0,30.619869324960746,33.68858813733095,-3.0687188090487325,0.0,25.3125
